Id,SalePrice
1461,128110.4453333334
1462,153704.25714285718
1463,183929.142
1464,187068.0
1465,197256.17300000004
1466,184103.864
1467,168817.7168333333
1468,176975.17
1469,181108.57
1470,121196.05133333334
1471,189797.82
1472,92232.35483333345
1473,97731.72333333362
1474,150404.9679999999
1475,143165.43899999995
1476,393943.37200000015
1477,256848.96600000025
1478,302206.0119999999
1479,243524.0520000002
1480,460065.36000000004
1481,305602.86200000014
1482,209659.47499999992
1483,175822.6375
1484,176882.11733333333
1485,172264.28300000002
1486,201289.802
1487,328827.6220000001
1488,243381.51800000016
1489,213342.64466666663
1490,206207.6875
1491,191770.776
1492,97407.21800000005
1493,165372.658
1494,295634.1700000002
1495,296318.6020000002
1496,226328.20000000007
1497,195441.962
1498,153488.1999999999
1499,151819.05799999987
1500,156750.85799999992
1501,174914.57
1502,166267.336
1503,309893.5680000002
1504,235334.58799999993
1505,219107.10600000003
1506,190815.74000000002
1507,234715.94900000005
1508,203263.63800000004
1509,166655.47500000003
1510,153104.7633333333
1511,151864.63133333332
1512,159260.62799999997
1513,144474.014
1514,156674.078
1515,176453.312
1516,157059.56399999998
1517,156024.477
1518,127712.819
1519,212527.91000000003
1520,137844.66144444444
1521,145790.2166666666
1522,159113.944
1523,114684.7506666667
1524,121983.96866666665
1525,125648.0840000001
1526,130369.45100000009
1527,102950.60600000006
1528,127766.13199999991
1529,143643.56114285716
1530,164657.23
1531,124527.92000000007
1532,107358.62
1533,146979.40133333337
1534,116532.512
1535,155314.608
1536,116747.42699999992
1537,76564.86799999999
1538,181463.42
1539,237206.91799999986
1540,110708.92400000012
1541,147622.89200000002
1542,139590.8873333334
1543,206045.432
1544,78096.858
1545,106224.76599999992
1546,122926.78799999999
1547,138831.32600000012
1548,137839.4071428572
1549,114971.37400000003
1550,142606.99400000006
1551,117013.37933333319
1552,139640.14200000005
1553,143129.6713333334
1554,111989.35599999994
1555,191013.03800000003
1556,105519.50599999994
1557,123304.57999999991
1558,92386.25999999998
1559,115509.23400000003
1560,151286.034
1561,146724.32799999998
1562,126951.06399999998
1563,123522.53799999993
1564,159136.77
1565,154461.86999999997
1566,215345.0013333334
1567,80802.6399999999
1568,224984.736
1569,156224.49666666664
1570,126442.52999999994
1571,132403.32366666663
1572,146575.10133333332
1573,225739.05
1574,114304.31199999993
1575,210739.80100000004
1576,218914.734
1577,205303.60066666672
1578,166941.79
1579,142690.33399999997
1580,189155.08052380953
1581,141002.48399999997
1582,128585.12200000002
1583,334372.0979999999
1584,238614.41800000003
1585,139313.00000000003
1586,74256.82199999974
1587,105973.41800000003
1588,147051.50177777774
1589,100641.84800000006
1590,132767.87599999993
1591,105729.7753333334
1592,127151.31599999996
1593,118105.57266666665
1594,153946.3655
1595,118069.85800000015
1596,238707.682
1597,171814.41194761902
1598,184750.129
1599,214830.89800000004
1600,192138.98100000003
1601,79280.13799999986
1602,114093.83999999997
1603,97100.64400000006
1604,281561.34600000014
1605,249143.30799999993
1606,168904.90766666664
1607,168677.31433333334
1608,217404.25199999998
1609,202540.59216666667
1610,163711.48000000004
1611,152106.91949999996
1612,172043.266
1613,167535.90266666663
1614,121369.148
1615,86431.20800000028
1616,82283.23000000036
1617,89067.8740000004
1618,128190.74799999993
1619,133706.36600000004
1620,165535.71963809524
1621,140865.25399999996
1622,161743.39333333337
1623,292758.29999999993
1624,216272.67200000002
1625,131331.51600000006
1626,166007.49000000002
1627,191322.78999999998
1628,277600.186
1629,175664.78133333335
1630,364678.58200000005
1631,235825.3340000001
1632,250026.80000000005
1633,169978.34900000002
1634,183872.8
1635,179948.312
1636,161549.40799999994
1637,184759.236
1638,219276.052
1639,186896.564
1640,249982.77600000007
1641,190892.97600000002
1642,221536.13200000007
1643,226915.02999999997
1644,228483.47399999987
1645,187028.78
1646,155585.04683333333
1647,162612.56199999998
1648,141111.43699999998
1649,138758.564
1650,121999.27399999993
1651,123708.46400000007
1652,92659.13283333313
1653,97993.44733333349
1654,150688.05399999995
1655,155896.70599999998
1656,148104.5199999999
1657,149712.2579999999
1658,151940.72599999994
1659,143962.36599999998
1660,145972.34266666666
1661,424813.9959999998
1662,388081.6220000001
1663,378434.62400000007
1664,442451.71599999996
1665,311614.6079999999
1666,329940.59999999974
1667,355900.656
1668,327188.7479999998
1669,296664.17799999996
1670,337401.87199999986
1671,261930.42200000008
1672,466647.2500000003
1673,300756.0499999999
1674,253431.35200000007
1675,187293.464
1676,190279.43200000003
1677,214422.78199999998
1678,456203.91
1679,380343.4379999994
1680,336507.5540000001
